expert,bs," tokens"," prev_tokens"," hiddens"," encoder_time"," decoder_time"
2,160,25,21,512,7.270822143554687,11.9823046875
2,112,36,34,512,7.4732568359375,13.183099365234375
2,96,33,42,512,6.06453369140625,12.970045166015625
2,152,25,26,512,7.242633056640625,12.533155517578125
2,72,52,50,512,7.3205108642578125,13.159342041015625
2,272,15,15,512,7.002547607421875,12.327025146484376
2,104,31,39,512,6.280166015625,12.9000244140625
2,368,11,10,512,6.991900024414062,11.88220947265625
2,32,96,106,512,6.721964721679687,13.03194580078125
2,104,35,37,512,7.330401000976562,12.980582275390624
4,160,25,21,512,9.368125,13.667337646484375
4,112,36,34,512,9.529169921875,15.286640625
4,96,33,42,512,7.941585083007812,15.176785888671875
4,152,25,26,512,9.432581787109376,14.647510986328125
4,72,52,50,512,9.60176025390625,15.4663427734375
4,272,15,15,512,9.124618530273438,14.5189892578125
4,104,31,39,512,8.174734497070313,15.042242431640625
4,368,11,10,512,9.083211059570312,14.06772216796875
4,32,96,106,512,8.499345703125,15.177021484375
4,104,35,37,512,9.490286865234374,15.104522705078125
8,160,25,21,512,11.991380615234375,16.23226318359375
8,112,36,34,512,12.200338134765625,18.04621826171875
8,96,33,42,512,10.460543212890625,17.83857177734375
8,152,25,26,512,12.08479248046875,17.31030029296875
8,72,52,50,512,12.25389404296875,18.103909912109376
8,272,15,15,512,11.801640625,17.210255126953125
8,104,31,39,512,10.590089111328124,17.75066162109375
8,368,11,10,512,11.77637451171875,16.77844482421875
8,32,96,106,512,11.067239990234375,18.02008544921875
8,104,35,37,512,12.16509521484375,17.860157470703125
16,160,25,21,512,16.94705078125,20.86801513671875
16,112,36,34,512,17.309317626953124,22.82144775390625
16,96,33,42,512,15.17828857421875,22.67590576171875
16,152,25,26,512,17.039698486328124,22.14352783203125
16,72,52,50,512,17.17119140625,22.98809326171875
16,272,15,15,512,16.805531005859375,22.0413037109375
16,104,31,39,512,17.523399658203125,26.2101806640625
16,368,11,10,512,17.462264404296874,21.77218505859375
16,32,96,106,512,15.786334228515624,22.83845703125
16,104,35,37,512,17.1583544921875,22.755390625
32,160,25,21,512,33.37823974609375,37.6610498046875
32,112,36,34,512,33.624541015625,40.62022705078125
32,96,33,42,512,30.94628662109375,40.2911328125
32,152,25,26,512,33.3990625,39.78986572265625
32,72,52,50,512,33.72043701171875,37.01486572265625
32,272,15,15,512,27.9848681640625,31.0769140625
32,104,31,39,512,24.4203759765625,31.73562255859375
32,368,11,10,512,27.99529052734375,30.7428662109375
32,32,96,106,512,24.811083984375,31.89538818359375
32,104,35,37,512,28.1933154296875,31.76700927734375
